label,statement,subjects,domain
mostly-true,On my first day in office I ordered a review of every regulation in the pipeline and every contract exceeding $1 million .,state-budget,business
false,The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island .,"economy,education,government-efficiency,state-budget",politics
barely-true,Says Sean Duffy was a no-show as Ashland County District Attorney while he was on the campaign trail,"job-accomplishments,message-machine",politics
false,Beaverton enjoys the most diverse population (by percentage of population) among Oregon cities .,diversity,housing
pants-fire,Evidence shows Zika virus turns fetus brains to liquid .,public-health,science
barely-true,Says after leaving the White House Hillary Clinton was forced to return an estimated $200000 in White House china furniture and artwork that she had stolen .,ethics,crime
barely-true,Georgia is the Saudi Arabia of pine trees .,energy,environment
half-true,U.S. Senate candidate Jack Kingston voted for the Cash for Clunkers program .,federal-budget,politics
half-true,Put simply less government spending equals more private sector jobs .,"economy,federal-budget,jobs,stimulus",economy
barely-true,I turned a $110 million deficit into a $1.6 million surplus for our city .,"candidates-biography,city-budget,city-government,debt,deficit,economy,history,taxes,unions",business
true,Seventy percent of Americans dont have a college degree .,"corrections-and-updates,education",education
barely-true,Under the plan for the first five years your employer not only has to keep the coverage but you can t migrate to the public plan .,health-care,law
false,Says the oil industry subsidies that President Barack Obama is attacking dont exist,"energy,taxes",energy
half-true,President Barack Obamas veto of the Keystone XL pipeline killed 42000 jobs .,"energy,jobs",energy
true,John McCain decided to stand with George Bush 95 percent of the time (last year).,bush-administration,politics
barely-true,Says Bill Pascrell voted to eliminate all estate taxes for billionaires and I voted no .,"message-machine-2012,taxes",taxes
half-true,In Hillary Clintons tax returns you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well .,"candidates-biography,income",taxes
true,Says that when the Rolling Stones performed in an Austin park they paid $25000 to the nearby city of Rollingwood for one night of inconvenience .,"city-government,recreation",environment
barely-true,Says the NAACPs Ohio chapter has endorsed Issue 2.,"elections,redistricting",politics
half-true,Florida led the nation in job creation while Bush was governor .,"candidates-biography,economy,florida",economy
true,Says Marco Rubio knows full well I voted for his amendment to increase military spending to $697 billion .,"federal-budget,military,voting-record",military
half-true,Says Joe Heck voted to shut down the government .,voting-record,politics
half-true,Oil production is down 14 percent this year on federal land .,energy,energy
mostly-true,Of the 98 top oxycodone-dispensing doctors who used to live in Florida today there are none .,"criminal-justice,drugs,florida,public-safety",health
true,A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession .,"income,jobs",economy
barely-true,John McCain has changed position on invading Iraq .,iraq,foreign policy
false,State employees are actually going to get a pay raise .,state-budget,business
half-true,A Texas law requires every high school to have a voter registrar and part of their responsibility is to make sure that when children become 18 and become eligible to vote that they vote .,"education,elections",law
mostly-true,Federal spending on entitlements is projected to consume all revenue by 2045 .,"federal-budget,health-care,medicaid,medicare,social-security",social issues
pants-fire,Congressman Kasich wants to use our tax dollars to give secret bonuses to his corporate friends .,"economy,jobs,message-machine,state-budget,transparency",taxes
barely-true,The Democrat majority in the Senate has failed to submit [a] budget in the past 1000 days .,federal-budget,politics
half-true,Says Rick Perry increased spending in Texas by more than 50 percent .,"state-budget,state-finances",politics
true,Says as a share of the US economy the governments support for research and development (RD) has fallen by nearly two-thirds since the 1960s .,"federal-budget,science",economy
barely-true,Says Texas Republican leaders have proposed laying off thousands of teachers .,"education,jobs",education
barely-true,The Democratic health care bill in the House would create 53 new government bureaucracies .,health-care,health
mostly-true,Says that Donald Trump supported Charlie Crist .,"campaign-finance,candidates-biography",politics
mostly-true,Dollar General added 2500 stores and 20000 jobs during his four-year tenure as CEO .,candidates-biography,business
false,Property tax exemptions can be granted to small businesses that move into Milwaukee County .,"jobs,small-business,taxes",taxes
false,Gov . Sarah Palin got precisely zero support for her call for Alaskas Democratic Senator Mark Begich to resign because Ted Stevens corruption conviction was overturned .,"elections,pundits",politics
mostly-true,Says overwhelming majorities of Americans support gun legislation like background checks .,"civil-rights,crime,guns",politics
barely-true,Under the DREAM Act after two years of higher education or military service you are eligible for citizenship . Once a citizen this paves the way to bring the rest of (your) extended family to the United States .,immigration,immigration
half-true,Since President Barack Obama took office 2 million more Americans are out of work .,economy,economy
false,Says opponent David Dewhurst is a career politician .,candidates-biography,politics
false,Says Virginia economic development officials decided they didnt want to bid on his companys electric automobile plant .,"candidates-biography,china,economy,energy",transportation
false,The State Department says the 42000 jobs created by the Keystone XL pipeline are ongoing enduring jobs .,"energy,jobs",energy
false,Wisconsins new state budget includes a 15 percent increase for road construction and yet weve got local towns tearing up paved roads and replacing them with gravel .,"campaign-finance,state-budget,transportation",transportation
mostly-true,The Obama administration is refusing to directly arm the Kurds .,"foreign-policy,iraq,terrorism",foreign policy
barely-true,The Obama administrations green stimulus program funneled close to $2 billion dollars to overseas firms creating thousands of jobs in China .,"china,jobs,message-machine-2012,stimulus",environment
mostly-true,The worlds 62 richest people own the same wealth as the 3.6 billion poorest .,poverty,economy
mostly-true,There are approximately 18000 (police) departments in the United States .,"crime,criminal-justice",crime
false,The cost-of-living increase in Social Security is tied to wage inflation .,social-security,social issues
mostly-true,Nearly a quarter of all adults in this state have some college credit without a degree .,"economy,education,jobs",education
half-true,Of the more than 1.3 million temporary mortgage modifications over half have defaulted .,housing,housing
half-true,Republicans tried to block the deficit commission .,federal-budget,politics
mostly-true,The state is able to sharply curtail contract bargaining rights for state employee unions .,"jobs,labor,state-budget",law
half-true,On his support for sharply limiting collective bargaining by public employees .,"labor,state-budget",politics
true,Georgia is one of only about seven states in the country that has a AAA bond rating .,state-finances,economy
mostly-true,Rick Perry attempted to fast-track unnecessary coal-fired power plants which degrade air quality and would cost billions . Fortunately a court stopped him .,environment,energy
half-true,Two years ago Providence alone spent $50000 a year notifying the school department about residents in the states sex offender registry .,"children,crime,criminal-justice",crime
barely-true,In many instances (peoples) health care costs are more than their mortgage costs or their rent which by the way is a first in American history .,"economy,government-regulation,health-care,history,market-regulation",health
half-true,Since the passage of Obamas stimulus package over 1 million additional jobs were lost and nearly 25 million Americans are out of work are stuck in part-time work or have given up looking .,"jobs,stimulus",economy
true,Three in four low-income workers dont have any paid sick days available .,"health-care,income,labor,public-health,workers",social issues
barely-true,Says Vince Polistina is collecting nearly $70000 in taxpayer-funded salaries - plus a government pension .,"income,pensions",politics
false,The Department of Health and Human Services is providing $160 million to the state of Pennsylvania to set up a new high-risk insurance pool program that would cover any abortion legal in the state .,"abortion,health-care",social issues
half-true,We have SAT scores lower than that of Alabama .,"education,message-machine",education
pants-fire,Boston Marathon bombing suspect Tamerlan Tsarnaev is buried not far from President Kennedys grave .,"crime,history,islam,pundits,religion,terrorism",crime
mostly-true,Gov . Romneys plan would cut taxes for the folks at the very top .,"message-machine-2012,taxes",taxes
half-true,Says David Prosser = Scott Walker .,"candidates-biography,job-accomplishments,labor,state-budget",politics
pants-fire,Politician Reid Ribble wants to phase out Social Security forcing Wisconsin seniors to fend for themselves .,"message-machine,social-security",politics
false,Says Houstons 18th congressional district has been gentrified and is home to more Anglos than African Americans .,"candidates-biography,census,diversity,elections",politics
mostly-true,The Hyde Amendmentlanguage was in the (human trafficking) bill . The Democratic sponsor admits it was in the bill and she voted for it .,"abortion,bipartisanship",social issues
mostly-true,Says Joe Heck voted 10 times to defund Planned Parenthood . and Heck opposes a womans right to choose even when her health is at risk .,abortion,social issues
false,Stimulus tax cuts began showing up in paychecks of 4.8 million Indiana households about three months ago .,"stimulus,taxes",taxes
mostly-true,Says Hillary Clinton called the Trans-Pacific Partnership the gold standard . You called it the gold standard of trade deals . You said its the finest deal youve ever seen .,"candidates-biography,economy,foreign-policy,history,trade",politics
mostly-true,Bernie Sanders voted against the Brady Bill - background checks and waiting periods .,"guns,voting-record",politics
barely-true,Says Charlie Crist and Missouri Rep . Todd Akin hold same abortion views . No exception except the life of the mother .,"abortion,candidates-biography",social issues
half-true,Barack Obama has doubled our national debt . Doubled it . Its going to be close to $20 trillion when he leaves .,"debt,economy",law
pants-fire,Say Matt Wand cut Troutdale police created a slush fund for himself .,"crime,ethics,public-safety",crime
false,Were second only to Boston in college students per capita .,education,education
barely-true,Not even expensive bottled water like Perrier and Evian are of good enough quality to pump out of mines in Southwest Virginia according to the EPA regulation .,environment,law
pants-fire,Obama Declares November National Muslim Appreciation Month .,"islam,religion",religion
barely-true,Says Catherine Cortez Masto was happy to line her own pockets with taxpayer dollars when state employees were slammed with frozen salaries .,candidates-biography,politics
pants-fire,Under Obamacare The IRS will have access to the American peoples protected health care information .,"health-care,taxes",law
mostly-true,Mike Martinez has voted to raise taxes and utility rates while ending free bus service for seniors .,"taxes,transportation,voting-record",transportation
true,Ohio has one of the highest provisional ballot rates in the country and many of them go uncounted each election .,elections,politics
mostly-true,Rand Paul wants to end all federal faith-based initiatives and even end the deduction for religious charities .,"message-machine,religion,taxes",politics
half-true,Homicides last year increased by 17 percent in Americas 50 largest cities . Thats the largest increase in 25 years .,"crime,criminal-justice",crime
mostly-true,The Canadians they (dropped) their tax rates to 15 percent . The average tax rate on businesses in the industrialized world is 25 percent .,taxes,taxes
false,White men account for 69 percent of those arrested for violent crimes .,crime,crime
half-true,We know that tax cuts are remarkably un-stimulative when you compare them with different kinds of government spending .,"economy,pundits,stimulus,taxes",taxes
barely-true,The climate-change agreement between the United States and China requires the Chinese to do nothing at all for 16 years .,"china,climate-change,environment,foreign-policy",environment
half-true,Says in fiscal year 2011 the state had a projected $11 billion deficit .,"deficit,state-budget,state-finances",economy
barely-true,Wisconsin election officials to accept Mickey Mouse Hitler signatures on recall petitions .,"elections,legal-issues",politics
half-true,I wrote to Secretary Paulson I wrote to Federal Reserve Chairman Bernanke [in March 2007] and told them this is something we have to deal with and nobody did anything about it .,economy,business
half-true,The Great Wall of China built 2000 years ago is 13000 miles (long).,history,culture
true,When the Dallas/Fort Worth Airport needed to stop its earthquake spike a few years ago they temporarily shut down the wells that were injecting fracking fluid into the ground . (and) those earthquakes stopped .,"energy,environment",transportation
pants-fire,Says Supreme Court candidate JoAnne Kloppenburgs record as a state Justice Department lawyer consists only of the prosecution of cases regarding regulation of docks .,"candidates-biography,environment,legal-issues",law
half-true,One half of federal spending goes to Social Security Medicare and Medicaid while the other half goes to other programs funded with money borrowed from a foreign land .,federal-budget,social issues
mostly-true,Medicare began as a public option and now holds 97 percent of the market share .,"health-care,medicare",health
true,Says Sen . Mitch McConnell is the No . 1 recipient of contributions from lobbyists this cycle .,"campaign-finance,congress,campaign-advertising",politics
true,98 percent of small businesses make less than $250000 and would not see a tax increase under Barack Obama s plan .,taxes,business
false,The leading Democratic candidate once said that the unfettered free market is the most destructive force in modern America .,economy,politics
half-true,Says the American public overwhelmingly opposed Democratic-steered health care plan .,health-care,health
mostly-true,Says Dan Patrick supported giving a $5000 taxpayer-funded voucher to every family to buy a car .,"families,federal-budget,transportation",transportation
half-true,Right now if Rhode Island police come across a young person with a gun they really dont legally have the right to take it away from them .,"crime,criminal-justice,guns,legal-issues",law
false,We have trade agreements with 20 countries and we have trade surpluses with each one of those 20 .,trade,business
true,This March for the first time in human history the monthly average carbon dioxide in our atmosphere exceeded 400 parts per million . The range had been 170-300 parts per million for hundreds of thousands of years .,"climate-change,congress",environment
half-true,Jon Corzine elected governor . Teams up with Barbara Buono . $1.2 billion sales tax increase Passed . Most spending in state history Passed . After Buono named budget chair taxes and fees increase 23 times in just two years . State debt Up $13.4 billion . Unemployment Doubled .,"debt,jobs,state-budget,state-finances,taxes",taxes
barely-true,The Obama administration supported Muslim allies trying to establish a new international blasphemy standard .,"civil-rights,foreign-policy,religion,terrorism",foreign policy
false,Congress approval rating is 11 percent . You know who s higher Dick Cheney and HMOs .,job-accomplishments,health
false,Oil companies . currently have 68-million acres that they re not using .,energy,energy
true,Says Donald Trumps proposed tax treatment of hedge fund managers makes the current loophole even worse .,taxes,taxes
true,John Raeses wife is registered to vote in Florida so she cant even vote for him .,"candidates-biography,elections,message-machine",politics
pants-fire,Scientists tell us that we could have a cure in 10 years for Alzheimers were it not for overzealous regulators excessive taxation and greedy litigators .,"government-regulation,health-care,market-regulation,science",science
barely-true,Mitt Romney made over a hundred million dollars by shutting down (a Marion Ind . paper) plant .,"candidates-biography,corporations,message-machine-2012",business
true,More people are struck by lightning than commit in-person voter fraud by impersonation .,"civil-rights,crime,elections,government-regulation",crime
barely-true,Says Hillary Clinton and Tim Kaine want to expand (Obamacare) into a single-payer program .,"drugs,health-care,history",health
true,Says the last non-partisan commission to improve the voting experience in America concluded that was necessary .,elections,politics
half-true,Oregon school districts are directing 24 percent of their food budgets to purchase local foods . Thats the highest percentage in the country .,agriculture,education
barely-true,Germany is crime-riddled right now because of migration to Europe .,"crime,criminal-justice,human-rights,immigration,public-safety",immigration
true,Says theCongressional Budget Officehas estimatedevery penny of the federal budget will go to interest on the debt and entitlement spending by 2025 .,"deficit,federal-budget",economy
half-true,Mitt Romney said it was tragic to end the war in Iraq .,iraq,foreign policy
pants-fire,During Obamas first five years as president black unemployment increased 42 percent . During Reagans presidency black unemployment dropped 20 percent .,"diversity,economy,history,jobs",politics
false,Milwaukee lost the headquarters for MillerCoors because the area lacks good transit .,"jobs,transportation",transportation
false,Says President Obama said of the national debt If I dont have this done in three years then theres going to be a one-term proposition .,"deficit,message-machine-2012",politics
barely-true,Black Lives Matter who are attacking law enforcement officers - Barack Obama had them to the White House .,"civil-rights,crime,criminal-justice",social issues
mostly-true,In 2012 there were nearly 12.2 million arrests and only 410 uses of deadly force by police in the United States .,"civil-rights,criminal-justice,guns,public-safety",crime
half-true,Every major religion is opposed to same-sex marriage .,"gays-and-lesbians,religion",religion
barely-true,Says Texas has more than 80000 abortions each year .,abortion,social issues
false,Says Thomas Jefferson said that government is best which governs least .,"government-regulation,history",politics
half-true,The $18.8 billion in funding for K-12 education funding is the highest in Florida history and includes a record $10.6 billion in state funds .,education,education
true,In the 2000 Florida election at least 1100 eligible voters were wrongly dropped from voting rolls in an attempt to purge a list of felons . Many of those who were dropped showed up to vote and were told they could not .,elections,politics
true,My grandfather came home from . (World War II) exhausted from the burdens he had borne and died the next day .,candidates-biography,military
mostly-true,The largest U.S. companies would owe $620 billion in U.S. taxes on the cash they store in tax havens .,"corporations,taxes",taxes
false,If Trump had just put his fathers money in a mutual fund . hed have $8 billion .,wealth,economy
mostly-true,Fewer black and Latino men participate in the labor force compared to young white men .,"diversity,economy,jobs",social issues
barely-true,Says Adam Hasner gives the wealthy tax breaks worth $250000 a year but hikes middle class taxes $2000 .,"message-machine-2012,taxes",taxes
false,State House incumbent Jill Chambers R-Atlanta personally profits from taxpayer money .,ethics,politics
barely-true,The group that supported the presidents health care bill the most Latinos .,health-care,health
half-true,Women take birth control more than half of them as a medication for other conditions .,"abortion,health-care,sexuality",health
pants-fire,Says the Feingold garage ad is a fake : Hes not standing in front of his house .,"job-accomplishments,message-machine",politics
false,McCain hasn t held executive responsibility .,candidates-biography,business
true,McCain got more money from Airbus U.S. executives than any other politician .,"ethics,military",politics
false,Forty-five percent of doctors say theyll quit if health care reform passes .,"health-care,pundits",health
mostly-true,Says Glenn Grothman pushed through state tax credits that when phased in someone that owns a factory that produces millions in income will pay less tax than their nephew would if he worked full time at Taco Bell for minimum wage .,"income,small-business,state-budget,taxes",taxes
true,Says that under a new program jail time for non-violent mentally ill offenders has been reduced by 50 percent .,"crime,government-efficiency,job-accomplishments",law
barely-true,John McCain intervened which helped Airbus get that Pentagon contract .,"ethics,military",politics
false,I have never said that I don t wear flag pins or refuse to wear flag pins .,patriotism,culture
false,Say71 percent of doctors say Hillarys health concerns are serious and could be disqualifying .,"candidates-biography,pundits",health
half-true,Expanding the sale of full-strength beer and wine to grocery stores isgood for everybody .,Alcohol,business
half-true,Says history suggests sports will quickly subsume a lot of the attention span of the country in the presidential primary .,"elections,sports",sports
mostly-true,The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe .,afghanistan,foreign policy
mostly-true,The federal debt is more than $14 trillion almost equal to the size of our entire economy and every child born today inherits a $45000 share of the national debt before they take their first breath .,"deficit,federal-budget",economy
true,I wake up every morning in a house (the White House) that was built by slaves .,"diversity,history",housing
false,Says Milwaukee County Executive Chris Abele spent $100000 of taxpayer money on a new luxury SUV .,county-budget,transportation
false,The media never show crowds .,elections,environment
pants-fire,The governor has made a commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back .,transportation,politics
mostly-true,Says he had to impose tougher cost controls on state employees than any previous Wisconsin governor .,"job-accomplishments,state-budget",politics
half-true,Says the Congressional Budget Office is expecting a protracted economic malaise for at least the next decade under current policies .,economy,economy
barely-true,It was Hillary Clinton who left Americans in harms way in Benghazi and after four Americans fell said What difference at this point does it make,candidates-biography,crime
half-true,Congresswoman Bachmann actually said we should be weaned off our Social Security and Medicare . She wants to privatize Social Security and replace Medicare with some kind of voucher system .,"medicare,social-security",social issues
false,Says children are coming into the U.S. in staggering numbers because President Barack Obama has been promising amnesty .,immigration,immigration
true,The United States has never been richer if you look at per capita GDP .,"economy,federal-budget,taxes",economy
mostly-true,Michele Bachmanns legislative record is offering failed amendments .,"candidates-biography,voting-record",politics
barely-true,Says that when San Francisco banned plastic grocery bags you saw the number of instances of people going to the ER with things like salmonella and other related illnesses spike .,"environment,health-care,public-health",health
false,Scott Walker had a 2.3 GPA when he was asked to leave Marquette University for cheating .,"candidates-biography,education,elections",education
mostly-true,Says a company that got tax breaks from the state later laid off 100 Ohioans even as its CEO cut a half-million-dollar check to Kasichs super PAC .,"campaign-finance,candidates-biography,ethics",taxes
half-true,Ohio Director of Job Creation Mark Kvamme just clawed back about $900000 from companies that made promises and they didnt keep them .,"government-efficiency,state-budget",business
false,There is no clinical evidence that vaccinating healthcare workers protects patients .,"health-care,labor,public-health,unions",health
half-true,On in-state tuition for unauthorized immigrants .,"education,immigration,state-budget,state-finances",education
false,I made a bunch of these promises during the campaign . . Weve got about 60 percent done in three years .,"job-accomplishments,politifacts-top-promises",politics
mostly-true,On the day of the New Hampshire primary in 1980 the top 13 people of Ronald Reagans staff quit .,history,politics
false,Some of the wealthiest Americans are African-American now .,wealth,economy
false,Theres 400 more people working in health care today in New Hampshire than when we passed the budget .,"health-care,state-budget,state-finances",health
barely-true,President Barack Obamas health care reform slashed $500 billion from Medicare .,"health-care,medicare,public-health",health
mostly-true,The U.S. ranks 37th in the world for health care .,health-care,health
mostly-true,A high school dropout makes on average $19000 a year a high school graduate makes $28000 a year a college graduate makes $51000 a year .,"education,pundits",education
true,Theres almost 1 million Texans who are unemployed and thats an all-time record number in our state .,economy,economy
false,Nearly 70 percent of all federal spending will go towards Social Security Medicare and Medicaid in fiscal year 2014 .,"federal-budget,medicaid,medicare,social-security",social issues
barely-true,In Ohio each year an estimated 1000 children become victims of human trafficking and over 3000 more are at risk .,"children,trade",crime
false,Claims that Obama said For those who oppose our policies you should just shut up and go away .,"elections,florida",politics
false,Says Yet in Salem they have traditionally waited until the money is almost gone to pay for the most important things in our states budget .,"education,state-budget",culture
true,18 percent of our land in our state right now is either federally state or county owned for conservation purposes .,"animals,environment,recreation,state-finances",environment
mostly-true,The race will tighten just because that s what happens at the end of campaigns . They always have .,elections,politics
true,Even after Obamacare is fully implemented there still will be tens of millions of people not covered .,health-care,health
barely-true,The [Obama] administrations regulatory assault on coal-fired energy has put thousands of Americans out of work,"energy,environment,jobs",energy
true,We have 80000 abortions in Texas every year .,"abortion,corrections-and-updates",social issues
barely-true,Says Tri-Rail shows the potential problems with investing in high-speed rail .,"state-budget,stimulus,transportation",transportation
half-true,Says U.S. Senate rival Tommy Thompson is a big corporate lobbyist and has been lobbying during the middle of the campaign .,congressional-rules,politics
mostly-true,Congressman Paul introduces numerous pieces of substantive legislation each year probably more than any single member of Congress .,job-accomplishments,politics
false,Four members of the Rhode Island General Assembly went to vote in 2010 and were told they had already voted .,"debates,elections,legal-issues",politics
false,The Democrat-backed health care reform plan will require (Americans) to subsidize abortion with their hard-earned tax dollars .,"abortion,health-care,taxes",health
barely-true,Mark Warner cast the tiebreaking vote to pass Obamacare .,"health-care,voting-record",health
mostly-true,In Iraq violence is down to an all-time low since the start of the war .,"foreign-policy,iraq,military",law
true,North Koreas missiles are not going to have a capability to reach the United States anytime real soon .,"foreign-policy,nuclear",military
half-true,Im running for office with much more experience and qualifications than Barack Obama had when he ran .,candidates-biography,politics
false,Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less .,county-government,politics
true,In 2008 Charlie Crist applauded the pick of Sarah Palin and said she would do a great job .,candidates-biography,politics
mostly-true,The president promised to close the space gap but he now seems intent on repeating the events that created the space gap in the first place - putting in place a new rocket design and then trying to underfund the effort .,science,politics
barely-true,Republicans dont think its a good idea to make the child care tax credit stronger .,"children,taxes",social issues
true,More than half of women under 30 who give birth do so outside of marriage .,"families,women",social issues
mostly-true,I cut spending while serving in the state Legislature,"state-budget,state-finances,states,taxes",politics
mostly-true,If we ban the practice of earmarks we could save the American taxpayer anywhere between $15 (billion) to $20 billion dollars a year in pork-barrel spending .,federal-budget,economy
half-true,Our welfare system now consumes 42 percent of our budget .,"elections,government-efficiency,medicaid,state-finances,welfare",welfare
true,Agriculture is the strongest industry in Ohio .,"agriculture,economy",agriculture
false,This is the first time in the history that weve had the raising of a debt limit also with spending cuts .,"federal-budget,history",politics
mostly-true,Sarah Palin was repeating Abraham Lincoln s words in discussing the war in Iraq .,religion,foreign policy
barely-true,Kelly Ayotte voted for a budget that had $90 billion of cuts to Pell Grants .,"education,voting-record",education
mostly-true,Says U.S. Rep . Connie Mack IV passed only one bill in seven years .,"message-machine-2012,voting-record",politics
mostly-true,Republican-leaning states get more in federal dollars than they pay in taxes .,"federal-budget,state-finances,states",taxes
half-true,Barack Obama said in 2004 that he basically agreed with the way George Bush was conducting the war .,iraq,foreign policy
pants-fire,Says President Barack Obama is a socialist .,"government-regulation,new-hampshire-2012,patriotism",social issues
false,Wisconsin was literally broke when Republicans took office in January 2011 .,state-budget,economy
barely-true,About two-thirds of Medicaid beneficiaries are children but they account for one-third of the programs cost while one-third are elderly and they account for two-thirds of the cost .,"children,federal-budget,health-care",social issues
barely-true,Says Tom Cottons vote in Congress to change Medicare will increase out-of-pocket expenses for every senior in Arkansas .,"health-care,medicare,retirement",health
mostly-true,Says the Obama administration approved a major disaster declaration for Oklahoma in 2009 when nine of the states 77 counties burned for about three days while Texas wildfires have been burning for longer without such a declaration .,natural-disasters,law
barely-true,Our campaign depends on small donations for the majority of our support .,campaign-finance,politics
false,Says Crist campaign website has eliminated all references to our Republican Party .,candidates-biography,politics
false,On a cap-and-trade plan .,"cap-and-trade,climate-change,energy,environment",environment
half-true,There hasnt really been a lot of net growth in the federal workforce when you compare it to say 1990 .,"government-efficiency,jobs",economy
barely-true,The American Conservative Union gives [Rep . Tim] Ryan a dismal 0.0 percent rating for the billions he has contributed to our national debt .,"deficit,federal-budget",politics
false,The departments of Commerce Education and Energy and the EPA saw their spending increase by between 130 percent and 219 percent between 2008 and 2010 .,"federal-budget,stimulus",energy
barely-true,Says he hasnt changed his view on abortion restrictions .,abortion,social issues
mostly-true,Says the director of an anti-abortion group receiving a Texas grant to provide womens health services believes HIV can be spread through the sewer system .,"health-care,public-health",social issues
half-true,Says Rick Perry of Texas was the governor who relied most on stimulus funds to close his states budget deficit in 2010 .,"state-budget,state-finances,stimulus",economy
barely-true,Democrats are cutting our school funding . Four times in the last 10 years before we came into office .,education,education
barely-true,Says President Barack Obama himself has granted waivers allowing into the United States refugees who provided material support to terrorists .,"immigration,terrorism",immigration
mostly-true,In almost every other country in the world artists and musicians are paid when their music is played on the radio . In fact the only countries besides the U.S. who do not have a radio-performance right are China Iran and North Korea .,"china,congress,workers",culture
true,One man sacrificed for his country . One man opposed a flawed strategy in Iraq . One man had the courage to call for change . One man didn t play politics with the truth . One man stands up to the special interests .,iraq,foreign policy
half-true,Says Paul Ryan supports banning all abortions even in cases of rape or incest .,abortion,social issues
false,More than 1000 American soldiers have lost their lives in Afghanistan in the last 27 months . This is more than the combined total of the nine years before .,"afghanistan,military",military
mostly-true,Weve doubled the production of clean energy .,energy,energy
true,Most Americans support the legalization of marijuana .,"drugs,marijuana,polls",social issues
barely-true,Under Barack Obama the U.S. now has the lowest workforce since (President Jimmy) Carter .,"economy,history,jobs,message-machine-2012",economy
half-true,A rural hospital in Missouri closes every 8 months . The legislatures failure to expand Medicaid has brought crisis to many of Missouris rural health care providers .,medicaid,health
pants-fire,Harambe received 15000 votes in the presidential election .,"elections,fake-news",politics
true,The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization .,abortion,social issues
false,Says Thom Tillis gives tax breaks to yacht and jet owners .,"message-machine-2014,taxes,wealth",taxes
false,During his time as House speaker unemployment came down from 5.6 percent to under 4 (percent).,"job-accomplishments,jobs",economy
half-true,Obamacare was the Republican plan in the early 90s .,health-care,health
false,We had an amendment in the health care law that said the federal government is going to take over education .,"education,health-care",law
barely-true,(Assembly Democrats) wanted to raise the gas tax by $2.4 billion . We said no to that . Theyre down on the ground . Theyre sweating . Theyre twitching . Its ugly cause I keep saying no .,taxes,taxes
mostly-true,Says he turned down a Medicaid expansion under Obamacare but because of actions he took for the first time in Wisconsins history everyone living in poverty is covered under Medicaid .,"health-care,medicaid,poverty,public-health,state-budget",social issues
barely-true,Says Patrick Murphy switched his vote on All Aboard Florida . because his father tried to get in a bid to build it and was unsuccessful .,"congress,transportation",politics
barely-true,Says U.S. Sen Sherrod Brown promised that the first stimulus bill would fund the Brent Spence Bridge .,"infrastructure,stimulus",transportation
barely-true,Tampa got more (federal housing) money because they scored higher on the blight scoring system so theyve got a much bigger problem than we do .,"housing,urban",housing
true,In nine Democratic debates Weve not had one question about a womans right to make her own decisions about reproductive health care not one question .,"abortion,debates",health
barely-true,The Manchin-Toomey amendment would have criminalized certain private transfers of firearms between honest citizens requiring lifelong friends neighbors and some family members to get government approval .,"corrections-and-updates,guns",politics
barely-true,McCain Trying to Have it Both Ways on Iraq,iraq,foreign policy
true,The budget submitted by Obama will add more to the debt than the outstanding debt of the previous 43 presidents combined .,"deficit,federal-budget",politics
half-true,I ve issued a six-month moratorium on deepwater drilling .,"energy,oil-spill",law
false,Toomey and Trump will ban abortion and punish women who have them .,abortion,politics
half-true,Tuition at Rutgers has increased 10 percent since Gov . Chris Christie took office because he cut funding for higher education .,"education,state-finances",education
barely-true,The reason we even have colleges is that at some point there were politicians who said You know what We should start colleges .,"education,history",politics
half-true,Capital Metro originally said MetroRails yearly operating costs would be about $2.5 million . Last year . it cost $13 million to operate .,"taxes,transportation",transportation
mostly-true,Providence has more of its pension fund invested in hedge funds and is less transparent about it than the state .,"city-budget,labor,pensions,retirement,state-budget,state-finances,transparency",economy
true,Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game .,"history,military,sports",sports
barely-true,If the General Assembly does not address the states structural deficit more than 23000 education professionals will be immediately yanked out of Pennsylvania schools .,state-budget,education
half-true,Says he brought 1200 jobs to Texas by moving his factories here from China .,"economy,job-accomplishments",business
mostly-true,U.S. Rep . Paul Broun has not authored any legislation that has been adopted by Congress .,"congress,voting-record",politics
half-true,On recess appointments .,"foreign-policy,legal-issues,workers",business
pants-fire,Four years as a congressman he [U.S. Rep . Hank Johnson] never talked about MARTA .,transportation,transportation
true,Texas has the highest rate of uninsured in the nation . . And there are more uninsured children in Texas than in any other state .,health-care,health
false,Eighty percent of Wall Street executives and their spouses donations go to Democrats .,"campaign-finance,financial-regulation",politics
false,Like me Scott Walker opposed the 1998 transportation bill and the $9 billion of wasteful spending .,"federal-budget,message-machine,taxes",transportation
half-true,Newspapers say Florida made bad investments lost hundreds of millions of dollars billions in pension funds lost . Who was in charge of Floridas investments Alex Sink .,"financial-regulation,message-machine,retirement,state-budget",business
